,DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY
201,THYROID,FLOW3,SGDClassifier,1,0,6,0.8408839779005525
202,THYROID,FLOW3,SGDClassifier,1,0,6,0.9469613259668508
203,THYROID,FLOW3,SGDClassifier,1,0,6,0.9480662983425414
204,THYROID,FLOW3,SGDClassifier,1,0,6,0.5889502762430939
205,THYROID,FLOW3,SGDClassifier,1,0,6,0.09281767955801105
206,THYROID,FLOW3,SGDClassifier,1,0,6,0.9469613259668508
207,THYROID,FLOW3,SGDClassifier,1,0,6,0.8629834254143647
208,THYROID,FLOW3,SGDClassifier,1,0,6,0.9458563535911603
209,THYROID,FLOW3,SGDClassifier,1,0,6,0.09281767955801105
210,THYROID,FLOW3,SGDClassifier,1,1,8,0.09281767955801105
211,THYROID,FLOW3,SGDClassifier,1,1,8,0.8464088397790055
212,THYROID,FLOW3,SGDClassifier,1,1,8,0.9469613259668508
213,THYROID,FLOW3,SGDClassifier,1,1,8,0.281767955801105
214,THYROID,FLOW3,SGDClassifier,1,1,8,0.9403314917127071
215,THYROID,FLOW3,SGDClassifier,1,1,8,0.4375690607734807
216,THYROID,FLOW3,SGDClassifier,1,1,8,0.11602209944751381
217,THYROID,FLOW3,SGDClassifier,1,1,8,0.9359116022099447
218,THYROID,FLOW3,SGDClassifier,1,1,8,0.9414364640883978
219,THYROID,FLOW3,SGDClassifier,1,1,8,0.932596685082873
220,THYROID,FLOW3,SGDClassifier,1,1,0,0.4375690607734807
221,THYROID,FLOW3,SGDClassifier,1,1,0,0.8132596685082873
222,THYROID,FLOW3,SGDClassifier,1,1,0,0.46408839779005523
223,THYROID,FLOW3,SGDClassifier,1,1,0,0.8994475138121547
224,THYROID,FLOW3,SGDClassifier,1,1,0,0.8364640883977901
225,THYROID,FLOW3,SGDClassifier,1,1,0,0.5292817679558011
226,THYROID,FLOW3,SGDClassifier,1,1,0,0.6121546961325967
227,THYROID,FLOW3,SGDClassifier,1,1,0,0.932596685082873
228,THYROID,FLOW3,SGDClassifier,1,1,0,0.09944751381215469
229,THYROID,FLOW3,SGDClassifier,1,1,0,0.5447513812154696
230,THYROID,FLOW3,SGDClassifier,1,1,2,0.16574585635359115
231,THYROID,FLOW3,SGDClassifier,1,1,2,0.6386740331491713
232,THYROID,FLOW3,SGDClassifier,1,1,2,0.9215469613259668
233,THYROID,FLOW3,SGDClassifier,1,1,2,0.14033149171270717
234,THYROID,FLOW3,SGDClassifier,1,1,2,0.37790055248618787
235,THYROID,FLOW3,SGDClassifier,1,1,2,0.09281767955801105
236,THYROID,FLOW3,SGDClassifier,1,1,2,0.96353591160221
237,THYROID,FLOW3,SGDClassifier,1,1,2,0.10165745856353592
238,THYROID,FLOW3,SGDClassifier,1,1,2,0.9171270718232044
239,THYROID,FLOW3,SGDClassifier,1,1,2,0.7171270718232045
240,THYROID,FLOW3,SGDClassifier,1,2,0,0.09723756906077348
241,THYROID,FLOW3,SGDClassifier,1,2,0,0.9480662983425414
242,THYROID,FLOW3,SGDClassifier,1,2,0,0.18453038674033148
243,THYROID,FLOW3,SGDClassifier,1,2,0,0.9392265193370166
244,THYROID,FLOW3,SGDClassifier,1,2,0,0.11160220994475138
245,THYROID,FLOW3,SGDClassifier,1,2,0,0.7558011049723757
246,THYROID,FLOW3,SGDClassifier,1,2,0,0.10718232044198896
247,THYROID,FLOW3,SGDClassifier,1,2,0,0.8751381215469614
248,THYROID,FLOW3,SGDClassifier,1,2,0,0.943646408839779
249,THYROID,FLOW3,SGDClassifier,1,2,0,0.9215469613259668
250,THYROID,FLOW3,SGDClassifier,1,2,2,0.9524861878453039
251,THYROID,FLOW3,SGDClassifier,1,2,2,0.21988950276243094
252,THYROID,FLOW3,SGDClassifier,1,2,2,0.7867403314917127
253,THYROID,FLOW3,SGDClassifier,1,2,2,0.09281767955801105
254,THYROID,FLOW3,SGDClassifier,1,2,2,0.9458563535911603
255,THYROID,FLOW3,SGDClassifier,1,2,2,0.943646408839779
256,THYROID,FLOW3,SGDClassifier,1,2,2,0.10939226519337017
257,THYROID,FLOW3,SGDClassifier,1,2,2,0.9480662983425414
258,THYROID,FLOW3,SGDClassifier,1,2,2,0.9458563535911603
259,THYROID,FLOW3,SGDClassifier,1,2,2,0.9425414364640884
260,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
261,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
262,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
263,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
264,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
265,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
266,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
267,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
268,THYROID,FLOW3,SGDClassifier,1,3,6,0.12265193370165746
269,THYROID,FLOW3,SGDClassifier,1,3,6,0.09281767955801105
270,THYROID,FLOW3,SGDClassifier,1,0,0,0.09281767955801105
271,THYROID,FLOW3,SGDClassifier,1,0,0,0.7193370165745856
272,THYROID,FLOW3,SGDClassifier,1,0,0,0.9469613259668508
273,THYROID,FLOW3,SGDClassifier,1,0,0,0.9259668508287293
274,THYROID,FLOW3,SGDClassifier,1,0,0,0.8220994475138121
275,THYROID,FLOW3,SGDClassifier,1,0,0,0.9458563535911603
276,THYROID,FLOW3,SGDClassifier,1,0,0,0.22209944751381216
277,THYROID,FLOW3,SGDClassifier,1,0,0,0.09281767955801105
278,THYROID,FLOW3,SGDClassifier,1,0,0,0.9370165745856354
279,THYROID,FLOW3,SGDClassifier,1,0,0,0.9458563535911603
